                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                  1.813,                 3.4558,                 1.4177,                0.13512,                    0.5,                0.09401,                0.04222,                 2.7904,                 3.2778,                  1.599,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.7079,                 3.2349,                 1.3188,                 0.1352,                0.44486,                0.08588,                0.04752,                 2.5916,                 3.1016,                 1.4963,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.7219,                 3.5723,                 1.2666,                0.10916,                0.33333,                0.10815,                0.06406,                 2.7275,                 3.2494,                 1.5185,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.1674,                 3.1751,                0.79873,                0.07605,                0.41284,                0.13343,                0.05831,                 3.0017,                 3.3512,                 1.5313,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.6409,                 3.4265,                 1.1914,                0.03297,                    0.5,                0.15201,                0.04147,                  3.076,                 3.6292,                 1.5514,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.6624,                 3.5865,                 1.2118,                0.03448,                    0.5,                0.12808,                0.02414,                 2.8541,                 3.9128,                 1.4447,              0.0001487,              0.0001487,              0.0001487
                     95,                 1.7311,                 3.0987,                 1.0831,                0.02655,                    0.5,                0.10934,                0.02873,                 2.7462,                 3.7775,                 1.4662,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.3278,                 2.9639,                0.99179,                0.08174,                0.33333,                  0.108,                0.03003,                 2.7493,                 3.7215,                 1.4714,             0.00011569,             0.00011569,             0.00011569
                     97,                 1.4493,                 3.1031,                 1.2233,                0.09605,                0.33333,                0.09082,                0.02538,                 2.7996,                 3.7101,                 1.4933,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.4962,                 2.8716,                 1.0745,                0.10962,                0.33333,                0.08704,                0.02173,                 2.8912,                 3.6462,                 1.5277,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 1.3478,                 2.9865,                0.99037,                0.15466,                0.33333,                0.10791,                0.01906,                 2.9138,                 3.6138,                 1.5055,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                  1.659,                 2.8932,                 1.2331,                0.15857,                0.33333,                 0.1083,                0.01914,                 2.8959,                 3.6245,                  1.504,             4.9677e-05,             4.9677e-05,             4.9677e-05
